タイトル,観測月数,売上合計,売上中央値,最大月売上,最終売上月,サービス終了日
からかい上手の高木さん キュンキュンレコーズ,9,75340000,6030000.0,22060000,2023-02,2023/03/29
かんぱにガールズ ファンタジーRPG,32,247120000,2350000.0,48510000,2021-05,2021/07/12
きららファンタジア,59,4617440000,64900000.0,233000000,2022-11,2023/02/28
この素晴らしい世界に祝福を！ファンタスティックデイズ,58,7824800000,103000000.0,859000000,2024-11,2025/01/30
でみめん,9,75500000,4060000.0,39620000,2019-10,2019/12/12
とある魔術の禁書目録 幻想収束,63,7642000000,96300000.0,470000000,2024-09,2024/12/02
ときめきアイドル,5,88090000,22840000.0,31580000,2018-07,2019/01/15
どうぶつの森 ポケットキャンプ,84,18961330000,238000000.0,462000000,2024-12,2024/11/29
なむあみだ仏っ！-蓮台 UTENA-,13,135910000,4030000.0,41580000,2020-05,2020/08/31
にゅ～パズ松さん 新品卒業計画,2,8690000,4345000.0,7100000,2018-06,2019/01/28
にょろっこオンラインゲーム,1,850000,850000.0,850000,2021-06,2021/12/04
のぶニャがの野望 ニャぷり！,2,190000,95000.0,150000,2020-02,2020/05/11
ぱすてるメモリーズ～3DバトルRPG×美少女ゲー,3,8710000,1920000.0,5080000,2019-05,2019/08/06
ひぐらしのなく頃に 命,53,2043380000,34050000.0,101000000,2025-01,2025/02/27
ぷちぐるラブライブ！,12,336120000,18850000.0,105000000,2019-03,2019/05/31
ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,49,698220000,11700000.0,39950000,2022-12,2023/01/16
ららマジ,21,242860000,4680000.0,46040000,2020-03,2020/06/03
アイコイノート,13,28360000,1110000.0,14710000,2022-01,2022/04/30
アイチュウ ÉtoileStage,9,83500000,7980000.0,27170000,2021-05,2021/06/30
アイドルマスター SideM GROWING STARS,20,2838130000,146000000.0,282000000,2023-07,2023/07/31
アイドルマスター ポップリンクス,16,941060000,50900000.0,148000000,2022-04,2022/07/21
アカツキランド,26,215400000,7570000.0,21900000,2021-08,2021/12/30
アクション対魔忍,17,383950000,16360000.0,66100000,2021-04,2021/07/27
アスタータタリクス,12,1096680000,69210000.0,252000000,2024-07,2024/09/30
アストラル・ミラージュ -幻城の姫君-,3,14850000,5370000.0,8910000,2023-03,2023/12/20
アニマエ・アルケー,5,53600000,6510000.0,29920000,2021-10,2022/07/27
アニマル フロンティア,9,47140000,3910000.0,17230000,2021-01,2021/10/29
アルゴナビス -キミが見たステージへ-,8,134760000,16090000.0,22070000,2024-09,2024/11/30
アルゴナビス from BanG Dream! AAside,12,681870000,58455000.0,83640000,2021-12,2022/01/31
アルテイルNEO,9,87100000,2350000.0,50430000,2019-10,2019/11/29
アンノウンブライド,11,46830000,2280000.0,14880000,2021-06,2021/10/28
アークオーダー,5,48240000,8490000.0,25330000,2020-02,2020/10/27
アークザラッド R,33,2544700000,32320000.0,392000000,2021-04,2021/06/30
アーテリーギア-機動戦姫-,33,1057030000,14360000.0,180000000,2024-07,2024/11/12
イドラ ファンタシースターサーガ,37,2673600000,59560000.0,228000000,2021-11,2022/01/12
ウインドボーイズ！,29,973630000,28070000.0,83090000,2024-04,2024/05/30
ウルトラ怪獣バトルブリーダーズ,27,624880000,21120000.0,42300000,2021-03,2021/05/26
エクリプスサーガ,9,83560000,4440000.0,43570000,2022-04,2022/05/30
エコーズ オブ パンドラ,2,4680000,2340000.0,3430000,2020-06,2021/03/31
エターナルツリー,11,355110000,15790000.0,143000000,2023-04,2023/06/29
エターナルリンケージ -蒼穹のアムネシア-,12,436780000,14705000.0,138000000,2018-12,2019/04/30
エレメンタルストーリーワールド,11,212640000,16770000.0,35660000,2024-11,2025/01/31
エンゲージ・キル,10,524260000,41425000.0,168000000,2023-12,2024/03/21
オルタナティブガールズ,43,3885820000,80990000.0,204000000,2021-07,2021/10/31
オルタンシア・サーガR,17,185640000,4950000.0,54810000,2022-08,2022/11/30
オンエア！,26,974990000,30965000.0,153000000,2020-09,2020/10/30
オーディナル ストラータ,9,583120000,43410000.0,187000000,2018-09,2019/03/11
カラーピーソウト,15,29530000,1030000.0,7000000,2022-04,2023/01/31
カードキャプターさくら ハピネスメモリーズ,4,14990000,555000.0,13620000,2020-01,2020/06/30
ガンダムブレイカーモバイル,46,5917660000,116500000.0,496000000,2023-05,2023/06/05
ガンビット,18,495790000,26775000.0,60320000,2020-10,2020/12/21
ガールズシンフォニー：Ec 〜新世界少女組曲〜,5,10680000,1530000.0,6010000,2021-06,2021/07/29
ガール・カフェ・ガン！,12,36120000,3160000.0,5330000,2021-06,2021/08/31
キックフライト,12,306190000,19615000.0,96800000,2021-01,2021/03/22
キュービックスターズ ギリギリ直感シューティングゲーム,4,90170000,19035000.0,51080000,2024-02,2024/05/27
キングダム セブンフラッグス,61,10194720000,156000000.0,328000000,2023-01,2023/02/27
キングダムDASH!!,27,664390000,24020000.0,58830000,2023-06,2023/09/07
クックと魔法のレシピ おかわり,2,80000,40000.0,40000,2019-09,2019/12/25
クロノマギア,5,45650000,170000.0,37680000,2020-06,2020/11/30
クローズ×WORST - XROSS OVER -,23,557250000,24920000.0,37260000,2024-05,2024/07/30
クローバーシアター,5,89450000,10130000.0,54500000,2022-12,2023/06/07
グラフィティスマッシュ,41,2084670000,44480000.0,182000000,2021-05,2021/07/30
グリザイア クロノスリベリオン,8,202620000,22160000.0,84360000,2021-06,2021/08/31
グリムエコーズ,28,1538310000,40810000.0,288000000,2021-06,2021/08/31
グリムノーツ,26,2060900000,76875000.0,188000000,2020-02,2020/06/17
ケンガン ULTIMATE BATTLE,16,35290000,1320000.0,12230000,2020-12,2021/04/26
ゲシュタルト・オーディン,9,309380000,18960000.0,104000000,2019-07,2019/09/26
ゲートオブナイトメア,11,289600000,12500000.0,126000000,2022-08,2022/11/30
コードギアス Genesic Re;CODE,16,1189300000,49875000.0,347000000,2023-01,2023/04/27
ゴールドラッシュバトラー,4,27040000,6915000.0,12020000,2023-11,2024/03/26
サクラ革命 ～華咲く乙女たち～,4,174180000,40845000.0,73700000,2021-03,2021/06/30
サファイア・スフィア〜蒼き境界〜,15,832780000,17310000.0,192000000,2019-10,2020/01/16
サーヴァント オブ スローンズ,10,557130000,42635000.0,144000000,2018-12,2019/04/25
シティダンク,32,1020890000,13095000.0,140000000,2021-11,2021/12/21
シドニアの騎士 掌位ノ絆,4,13050000,1865000.0,8850000,2021-12,2022/06/28
シンエンレジスト,3,20100000,3780000.0,14430000,2018-09,2019/04/26
シン・クロニクル,13,798710000,53310000.0,183000000,2023-03,2023/05/31
ジャンプチ ヒーローズ,71,17360900000,250000000.0,451000000,2024-02,2024/03/27
ジョジョのピタパタポップ,33,1199440000,30570000.0,123000000,2021-06,2021/09/02
ジョジョの奇妙な冒険 ダイヤモンドレコーズ,20,578370000,21365000.0,79800000,2019-09,2019/11/18
スタースマッシュ,8,159210000,12350000.0,67420000,2021-10,2021/12/07
ステラクロニクル,12,377560000,4300000.0,171000000,2022-03,2022/04/29
スヌーピー パズルジャーニー,29,366740000,10640000.0,23600000,2022-07,2022/07/31
スヌーピー ライフ,53,2413760000,25890000.0,150000000,2022-06,2022/08/29
スマッシュ＆マジック,8,372710000,46520000.0,97780000,2018-08,2018/10/31
スーパーガンダムロワイヤル,42,7473310000,179000000.0,403000000,2021-06,2021/07/29
スーパーロボット大戦X-Ω,37,4662860000,128000000.0,248000000,2021-01,2021/03/30
スーパー戦隊レジェンドウォーズ,24,164960000,5515000.0,21190000,2020-06,2020/08/31
セブンズストーリー,42,222710000,4080000.0,17350000,2022-09,2022/12/27
ゼノンザード,16,480560000,23040000.0,110000000,2020-12,2021/02/18
ソウルリバース ゼロ,12,179140000,10545000.0,38230000,2019-03,2019/05/31
ソードアート・オンライン アリシゼーション・ブレイディング,37,4749240000,103000000.0,376000000,2022-11,2023/01/16
ソードアート・オンライン メモリー・デフラグ,42,6295630000,166500000.0,291000000,2021-06,2021/08/30
タップハンター～剣と魔法の放置RPG～,3,38220000,12160000.0,23840000,2024-04,2024/11/05
タワーオブスカイ,8,259880000,15565000.0,167000000,2023-12,2024/03/26
ダチメン伝説G　転生ヤンキーギルドバトルRPG,3,20290000,9450000.0,9610000,2023-07,2023/08/28
ダンまち〜メモリア・フレーゼ〜,76,9757850000,126000000.0,298000000,2024-04,2024/06/24
"ダンキラ!!! - Boys, be DANCING! -",13,419750000,35600000.0,52520000,2020-05,2020/08/05
ツムツムスタジアム,23,956190000,39080000.0,146000000,2022-07,2022/09/30
テイルズ オブ クレストリア,17,2687200000,148000000.0,420000000,2021-11,2022/02/07
テイルズ オブ ザ レイズ,78,12724470000,139000000.0,435000000,2024-06,2024/07/23
テイルズ オブ ルミナリア,8,205410000,29660000.0,40660000,2022-06,2022/07/20
テイルズウィーバー ： SecondRun,9,761890000,87010000.0,152000000,2023-07,2023/09/19
テクノロイド ユニゾンハート,34,807270000,21640000.0,52440000,2024-12,2025/01/31
テラウォーズ,4,2700000,100000.0,2430000,2019-10,2019/12/24
テラクラシック,23,377900000,9480000.0,113000000,2022-12,2023/03/14
